,Date,Open,High,Low,Close,Volume,Volume(BCC)
0,21-05-2021,2.2,2.27,1.84,2.01,0.0,0.0
1,20-05-2021,2.01,2.28,1.91,2.19,0.0,0.0
2,19-05-2021,2.31,2.34,1.68,2.01,0.0,0.0
3,18-05-2021,2.19,2.5,2.18,2.32,18.81,8.01
4,17-05-2021,2.25,2.3,2.06,2.19,4.26,1.92
5,16-05-2021,2.4,2.48,2.14,2.25,0.0,0.0
6,15-05-2021,2.56,2.6,2.4,2.4,0.0,0.0
7,14-05-2021,2.66,2.69,2.16,2.56,66.5,26.04
8,13-05-2021,2.31,2.73,2.26,2.66,11.35,4.42
9,12-05-2021,2.34,2.91,2.32,2.39,135.61,52.56
10,11-05-2021,2.26,10.2,2.13,2.35,302.03,35.98
11,10-05-2021,2.37,2.42,2.17,2.25,15.56,6.65
12,09-05-2021,2.27,2.38,2.18,2.37,0.0,0.0
13,08-05-2021,2.34,2.42,2.23,2.27,3.67,1.57
14,07-05-2021,2.18,2.38,2.15,2.34,52.22,23.17
15,06-05-2021,2.22,2.38,2.15,2.18,6.84,3.09
16,05-05-2021,2.22,2.31,2.13,2.22,15.67,7.03
17,04-05-2021,2.4,2.4,2.23,2.23,7.65,3.3
18,03-05-2021,2.38,2.48,2.38,2.4,0.0,0.0
19,02-05-2021,2.43,2.43,2.36,2.38,19.59,8.2
20,01-05-2021,2.47,2.74,2.42,2.43,35.41,13.28
21,30-04-2021,2.29,2.47,2.27,2.47,17.36,7.35
22,29-04-2021,2.33,2.35,2.24,2.29,25.16,10.93
23,28-04-2021,4.58,4.62,1.61,2.33,265.42,87.7
24,27-04-2021,3.53,4.57,3.5,4.57,1.99,0.5529082
25,26-04-2021,3.21,3.55,3.2,3.53,0.0,0.0
26,25-04-2021,2.83,3.3,2.76,3.21,63.81,21.22
27,24-04-2021,2.51,2.85,2.43,2.83,18.92,7.39
28,23-04-2021,2.67,2.7,2.34,2.5,2.5,1.01
29,22-04-2021,3.27,3.31,2.4,2.68,10.5,4.12
30,21-04-2021,1.4,3.34,1.35,3.27,297.1,186.52
31,20-04-2021,1.45,1.49,1.36,1.4,9.27,6.42
32,19-04-2021,1.47,1.5,1.42,1.45,17.69,12.01
33,18-04-2021,1.49,1.49,1.3,1.47,15.71,10.97
34,17-04-2021,1.57,1.66,1.48,1.49,17.02,11.14
35,16-04-2021,1.48,1.59,1.4,1.58,6.26,4.2
36,15-04-2021,1.48,1.49,1.45,1.48,0.0,0.0
37,14-04-2021,1.49,1.51,1.44,1.47,0.0,0.0
